COMMIT	UNIQUE_CWES	CWE_IDS
2f0aad79285997dacd0a3c49555be4743d09856d	4	78, 259, 330, 703
2f361dd92e83768df85a14e3147e6aa6f770150e	5	78, 259, 330, 605, 703
2f5951ea99ed7e722812232bb632336cc4ccc498	4	78, 259, 330, 703
2f84f0399de525d35e38bb6da75489343a280ce3	5	78, 259, 330, 605, 703
2f8be626a187724076ab7b603dd33d6f3f7273b9	5	78, 259, 330, 605, 703
30512d9b181fb840dd3d7c39ecb182c257dcdf12	5	78, 259, 330, 605, 703
306b2060f823efbbf99c55e3e544192f7f01dd3b	4	78, 259, 330, 703
3074384b640291e68114584ffbc13b14ff311a07	5	78, 259, 330, 605, 703
30ca4ae2e6133bbfa0120feeda2066647132a19e	5	78, 259, 330, 605, 703
3105528f04c0f6d30d6a30ba935173a8a09718f2	4	78, 259, 330, 703
3140b770485be4ab696904f2fc1f212e09b4dcfc	4	78, 259, 330, 703
31be897692d6fb072ff71564de301c6dde521c76	4	78, 259, 330, 703
31c9781a67a24b419024933d209c374516da97c9	4	78, 259, 330, 703
321d492d45fddec06a458af14bc657edc6cab1fa	5	78, 259, 330, 605, 703
3259a07a955661b51082f2f933888eb62c277c22	5	78, 259, 330, 605, 703
32b20e2e4a46fd580d23448b072c81b5485ed050	5	78, 259, 330, 605, 703
339a0d276a2b216242c2828674e58e6043a4e708	5	78, 259, 330, 605, 703
33ed167a81021c403225f0a2784b295dd5b1b8c0	5	78, 259, 330, 605, 703
343600f4114e848d588d5d9859bdf3fd443435b5	5	78, 259, 330, 605, 703
343e3984f23f73a9bddca412337e8cb0a8b1d7a2	4	78, 259, 330, 703
34871c5be9a109c3b614832b75041a0ed707c53c	5	78, 259, 330, 605, 703
3531d9c04c877c0b195604c8ddf998fc766fff35	4	78, 259, 330, 703
35e74896ae9e706877f352900e1da61dd39e633f	4	78, 259, 330, 703
36c1af414476804938b36c743b45bb750e5fbc16	4	78, 259, 330, 703
372f3aaed2f789df34ea3641e592598ebe7869a8	4	78, 259, 330, 703
37bee74581cfc1b1ddb28ee5fe8da97bcd71c35a	5	78, 259, 330, 605, 703
38173ae71780f0cb7f44373867a2ec559b239056	5	78, 259, 330, 605, 703
383fbda0ae0e1d02c2e2f60105524be3b5e90fd4	4	78, 259, 330, 703
3879607757f2e2a3d4e48a342636d6d593a840a0	5	78, 259, 330, 605, 703
38a86ec7e01c90af667a359062203acda9c67896	5	78, 259, 330, 605, 703
390805e8d07b3fad28cdae33fcdc395dd64b7fad	4	78, 259, 330, 703
3ac45f0abeaf3bec98741d5ade7a8ede65476ac6	4	78, 259, 330, 703
3b30dcc70cca6430594bdb3e35299252866b8577	4	78, 259, 330, 703
3bb7a7a23404f65ed5da8768d88b6908c3444ed8	4	78, 259, 330, 703
3bec61ff69fc8cdcc84f9c029ad560d1ea4fbcd8	4	78, 259, 330, 703
3c4325afe6d5c1c126c7dd224f2ac827ec581e3c	4	78, 259, 330, 703
3cf2cf849273cceaf1c03fa60a71b6a9c92943db	4	78, 259, 330, 703
