COMMIT_CONFIDENCE	HIGH_1	MED_1	LOW_1	COMMIT_SEVERITY	HIGH_2	MED_2	LOW_2	COMMIT_CWES	UNIQUE_CWES	CWE_IDS
e2724a55f31b5e84f63eff35ba0683758e81849a	1041	2	0	e2724a55f31b5e84f63eff35ba0683758e81849a	0	4	1039	e2724a55f31b5e84f63eff35ba0683758e81849a	5	78, 330, 377, 502, 703
e86a91ef3a4333b76540e22c6d7391620de6c836	1018	2	0	e86a91ef3a4333b76540e22c6d7391620de6c836	0	4	1016	e86a91ef3a4333b76540e22c6d7391620de6c836	5	78, 330, 377, 502, 703
e9921b3724b5fd6219c683b016f89a9b6a79c99c	1048	2	0	e9921b3724b5fd6219c683b016f89a9b6a79c99c	0	2	1048	e9921b3724b5fd6219c683b016f89a9b6a79c99c	4	78, 330, 377, 703
ec83ff73db1b9c0528eeaf998f9f45de8323086c	1097	2	0	ec83ff73db1b9c0528eeaf998f9f45de8323086c	0	2	1097	ec83ff73db1b9c0528eeaf998f9f45de8323086c	4	78, 330, 377, 703
ef32fe753a2f3bece8d9e191e1b00866b4710da1	1020	2	0	ef32fe753a2f3bece8d9e191e1b00866b4710da1	0	4	1018	ef32fe753a2f3bece8d9e191e1b00866b4710da1	5	78, 330, 377, 502, 703
efe38bbbe25d126f87478d122d9283835ac20bdf	1016	2	0	efe38bbbe25d126f87478d122d9283835ac20bdf	0	4	1014	efe38bbbe25d126f87478d122d9283835ac20bdf	5	78, 330, 377, 502, 703
f21f2935271f9c14a75bc23e775c61118d080e45	1058	2	0	f21f2935271f9c14a75bc23e775c61118d080e45	0	4	1056	f21f2935271f9c14a75bc23e775c61118d080e45	5	78, 330, 377, 502, 703
f2ca512cd235f07d9421a7abe2497b800c4775fc	1085	2	0	f2ca512cd235f07d9421a7abe2497b800c4775fc	0	2	1085	f2ca512cd235f07d9421a7abe2497b800c4775fc	4	78, 330, 377, 703
f57ef0b64b4cf96904e377eb012ebb38f097c518	1085	2	0	f57ef0b64b4cf96904e377eb012ebb38f097c518	0	2	1085	f57ef0b64b4cf96904e377eb012ebb38f097c518	4	78, 330, 377, 703
f5a53a8e22b6a873b8cd52b47a41f823a0ed2213	1039	2	0	f5a53a8e22b6a873b8cd52b47a41f823a0ed2213	0	4	1037	f5a53a8e22b6a873b8cd52b47a41f823a0ed2213	5	78, 330, 377, 502, 703
f5a9b4af2f888040d50bb270053fc7c6b9ea8e8f	1080	2	0	f5a9b4af2f888040d50bb270053fc7c6b9ea8e8f	0	2	1080	f5a9b4af2f888040d50bb270053fc7c6b9ea8e8f	4	78, 330, 377, 703
f84e6488441018e5d36d47d2c4abe1b3ef4d5a91	1016	2	0	f84e6488441018e5d36d47d2c4abe1b3ef4d5a91	0	4	1014	f84e6488441018e5d36d47d2c4abe1b3ef4d5a91	5	78, 330, 377, 502, 703
f949b99f8a4496f6af0a3770db2a3ef64c805459	1085	2	0	f949b99f8a4496f6af0a3770db2a3ef64c805459	0	2	1085	f949b99f8a4496f6af0a3770db2a3ef64c805459	4	78, 330, 377, 703
f97f67f98016b909830de238b9b5f34997ba4a51	1068	2	0	f97f67f98016b909830de238b9b5f34997ba4a51	0	4	1066	f97f67f98016b909830de238b9b5f34997ba4a51	5	78, 330, 377, 502, 703
f98f557b236e8eaf646e24c68d7e28950e065473	1026	2	0	f98f557b236e8eaf646e24c68d7e28950e065473	0	4	1024	f98f557b236e8eaf646e24c68d7e28950e065473	5	78, 330, 377, 502, 703
fbdffe35b5d8d9725adcdbef5b575e5f8a59d8c3	1136	2	0	fbdffe35b5d8d9725adcdbef5b575e5f8a59d8c3	0	2	1136	fbdffe35b5d8d9725adcdbef5b575e5f8a59d8c3	4	78, 330, 377, 703
