COMMIT_CONFIDENCE	HIGH_1	MED_1	LOW_1	COMMIT_SEVERITY	HIGH_2	MED_2	LOW_2	COMMIT_CWES	UNIQUE_CWES	CWE_IDS
32d36a09f6771b16241f382110d64fbc844e4785	60	1	0	32d36a09f6771b16241f382110d64fbc844e4785	0	5	56	32d36a09f6771b16241f382110d64fbc844e4785	6	20, 22, 78, 330, 502, 703
33c7f6d063e20eedad2cafbf9df6233b1c6f6370	63	1	0	33c7f6d063e20eedad2cafbf9df6233b1c6f6370	0	5	59	33c7f6d063e20eedad2cafbf9df6233b1c6f6370	6	20, 22, 78, 330, 502, 703
33dbf049856f0f9e42b6791d926fe04707128440	59	1	0	33dbf049856f0f9e42b6791d926fe04707128440	0	5	55	33dbf049856f0f9e42b6791d926fe04707128440	6	20, 22, 78, 330, 502, 703
37a05094ea446ef2c9fc423e5c63eb5f2b1dc707	60	1	0	37a05094ea446ef2c9fc423e5c63eb5f2b1dc707	0	5	56	37a05094ea446ef2c9fc423e5c63eb5f2b1dc707	6	20, 22, 78, 330, 502, 703
39fbb677dcc86fc32075249e66a3cbaba508aa7b	59	1	0	39fbb677dcc86fc32075249e66a3cbaba508aa7b	0	5	55	39fbb677dcc86fc32075249e66a3cbaba508aa7b	6	20, 22, 78, 330, 502, 703
3d9a0cd25e4604625b9740a98c46f4c5e272a10d	59	1	0	3d9a0cd25e4604625b9740a98c46f4c5e272a10d	0	5	55	3d9a0cd25e4604625b9740a98c46f4c5e272a10d	6	20, 22, 78, 330, 502, 703
3e307926fd41f4abb0ba767e512378749b9d14c0	59	1	0	3e307926fd41f4abb0ba767e512378749b9d14c0	0	5	55	3e307926fd41f4abb0ba767e512378749b9d14c0	6	20, 22, 78, 330, 502, 703
40b5c7c1c126f33e346514fd6616b8b24cb05c10	64	1	0	40b5c7c1c126f33e346514fd6616b8b24cb05c10	0	6	59	40b5c7c1c126f33e346514fd6616b8b24cb05c10	6	20, 22, 78, 330, 502, 703
4a6a12573998be1f50fe3d4c7f55a77b14f096dd	60	1	0	4a6a12573998be1f50fe3d4c7f55a77b14f096dd	0	5	56	4a6a12573998be1f50fe3d4c7f55a77b14f096dd	6	20, 22, 78, 330, 502, 703
4b483b75ce65f4d2ff8badc3c50d0349a80e375c	62	1	0	4b483b75ce65f4d2ff8badc3c50d0349a80e375c	0	5	58	4b483b75ce65f4d2ff8badc3c50d0349a80e375c	6	20, 22, 78, 330, 502, 703
4cc2e5ed177329a76add74df285ff2a1cac19ef0	62	1	0	4cc2e5ed177329a76add74df285ff2a1cac19ef0	0	5	58	4cc2e5ed177329a76add74df285ff2a1cac19ef0	6	20, 22, 78, 330, 502, 703
4d7f6093b4c5fe09c3639218196f7a4c9cff5cf0	60	1	0	4d7f6093b4c5fe09c3639218196f7a4c9cff5cf0	0	5	56	4d7f6093b4c5fe09c3639218196f7a4c9cff5cf0	6	20, 22, 78, 330, 502, 703
53b6c34ebec5a9c5478548ceb72adb5eec96b1da	63	1	0	53b6c34ebec5a9c5478548ceb72adb5eec96b1da	0	5	59	53b6c34ebec5a9c5478548ceb72adb5eec96b1da	6	20, 22, 78, 330, 502, 703
5b315d5c7041d86bf01d4aeb151fc2f9fb97662c	64	1	0	5b315d5c7041d86bf01d4aeb151fc2f9fb97662c	0	6	59	5b315d5c7041d86bf01d4aeb151fc2f9fb97662c	6	20, 22, 78, 330, 502, 703
5fa99b772398aaad527ba11c4418f9ffcada4871	64	1	0	5fa99b772398aaad527ba11c4418f9ffcada4871	0	6	59	5fa99b772398aaad527ba11c4418f9ffcada4871	6	20, 22, 78, 330, 502, 703
5fcb668f07fa8ddecf346bb1832da18cb4fbf7f2	62	1	0	5fcb668f07fa8ddecf346bb1832da18cb4fbf7f2	0	5	58	5fcb668f07fa8ddecf346bb1832da18cb4fbf7f2	6	20, 22, 78, 330, 502, 703
636fb3a45b4726ca308043a665b60f4e9efc5e2d	64	1	0	636fb3a45b4726ca308043a665b60f4e9efc5e2d	0	6	59	636fb3a45b4726ca308043a665b60f4e9efc5e2d	6	20, 22, 78, 330, 502, 703
667cfaf160a56dc53eef3e0b391038c810759229	60	1	0	667cfaf160a56dc53eef3e0b391038c810759229	0	5	56	667cfaf160a56dc53eef3e0b391038c810759229	6	20, 22, 78, 330, 502, 703
6b3801107842ceb5be2f51863baa5c1a131baf2f	62	1	0	6b3801107842ceb5be2f51863baa5c1a131baf2f	0	5	58	6b3801107842ceb5be2f51863baa5c1a131baf2f	6	20, 22, 78, 330, 502, 703
6d0b23f914869851e734c89aec0969eff3bc2dd1	64	1	0	6d0b23f914869851e734c89aec0969eff3bc2dd1	0	6	59	6d0b23f914869851e734c89aec0969eff3bc2dd1	6	20, 22, 78, 330, 502, 703
6d753a297ae6e4c8251275757517104a6c873202	60	1	0	6d753a297ae6e4c8251275757517104a6c873202	0	5	56	6d753a297ae6e4c8251275757517104a6c873202	6	20, 22, 78, 330, 502, 703
7148d6bcedb57573504b7f390c5b01dd2a74bd0f	60	1	0	7148d6bcedb57573504b7f390c5b01dd2a74bd0f	0	5	56	7148d6bcedb57573504b7f390c5b01dd2a74bd0f	6	20, 22, 78, 330, 502, 703
744e695340c5691551f2650d99db71964cb292c7	59	1	0	744e695340c5691551f2650d99db71964cb292c7	0	5	55	744e695340c5691551f2650d99db71964cb292c7	6	20, 22, 78, 330, 502, 703
76afc42e9a72fc25245fc54e7c3ba09b5f87f556	62	1	0	76afc42e9a72fc25245fc54e7c3ba09b5f87f556	0	5	58	76afc42e9a72fc25245fc54e7c3ba09b5f87f556	6	20, 22, 78, 330, 502, 703
7a61a1369162b5cc154a7851900012e87be9f438	59	1	0	7a61a1369162b5cc154a7851900012e87be9f438	0	5	55	7a61a1369162b5cc154a7851900012e87be9f438	6	20, 22, 78, 330, 502, 703
